image,scale,method,psnr,ssim
baboon,0.75,Cubic,24.241851359069784,0.7717192923053457
baboon,0.75,Lanczos,24.241851359069784,0.7717192923053457
baboon,0.5,Cubic,22.15691555454646,0.6319104232618012
baboon,0.5,Lanczos,22.15691555454646,0.6319104232618012
baboon,0.25,Cubic,20.069789142934837,0.40095896483217275
baboon,0.25,Lanczos,20.069789142934837,0.40095896483217275
barbara,0.75,Cubic,28.184691547642554,0.8904032395316518
barbara,0.75,Lanczos,28.184691547642554,0.8904032395316518
barbara,0.5,Cubic,25.659428744541458,0.8065687960164766
barbara,0.5,Lanczos,25.659428744541458,0.8065687960164766
barbara,0.25,Cubic,22.95543238686878,0.6384703171771591
barbara,0.25,Lanczos,22.95543238686878,0.6384703171771591
bridge,0.75,Cubic,28.240400468330552,0.8792082842686467
bridge,0.75,Lanczos,28.240400468330552,0.8792082842686467
bridge,0.5,Cubic,25.850528790115554,0.7804245912255268
bridge,0.5,Lanczos,25.850528790115554,0.7804245912255268
bridge,0.25,Cubic,22.667628554197666,0.541403055204108
bridge,0.25,Lanczos,22.667628554197666,0.541403055204108
coastguard,0.75,Cubic,30.650204476670826,0.8926148134349412
coastguard,0.75,Lanczos,30.650204476670826,0.8926148134349412
coastguard,0.5,Cubic,27.170526501682914,0.7465891780837243
coastguard,0.5,Lanczos,27.170526501682914,0.7465891780837243
coastguard,0.25,Cubic,23.750647922692938,0.4672403683861748
coastguard,0.25,Lanczos,23.750647922692938,0.4672403683861748
comic,0.75,Cubic,25.986927545296382,0.9073633728341934
comic,0.75,Lanczos,25.986927545296382,0.9073633728341934
comic,0.5,Cubic,23.207953286480013,0.8175193399530422
comic,0.5,Lanczos,23.207953286480013,0.8175193399530422
comic,0.25,Cubic,19.41906702086786,0.5447000649790423
comic,0.25,Lanczos,19.41906702086786,0.5447000649790423
face,0.75,Cubic,32.77542049985833,0.8672255427296044
face,0.75,Lanczos,32.77542049985833,0.8672255427296044
face,0.5,Cubic,30.99220650287191,0.8008439492289884
face,0.5,Lanczos,30.99220650287191,0.8008439492289884
face,0.25,Cubic,28.523158888195567,0.6831927053771046
face,0.25,Lanczos,28.523158888195567,0.6831927053771046
flowers,0.75,Cubic,29.965570397423317,0.9271558880663066
flowers,0.75,Lanczos,29.965570397423317,0.9271558880663066
flowers,0.5,Cubic,27.122294651260464,0.8640657546995393
flowers,0.5,Lanczos,27.122294651260464,0.8640657546995393
flowers,0.25,Cubic,22.797894823333156,0.6709643136057358
flowers,0.25,Lanczos,22.797894823333156,0.6709643136057358
foreman,0.75,Cubic,33.74461046258675,0.9673948951026529
foreman,0.75,Lanczos,33.74461046258675,0.9673948951026529
foreman,0.5,Cubic,30.862315064598576,0.9363200009408504
foreman,0.5,Lanczos,30.862315064598576,0.9363200009408504
foreman,0.25,Cubic,25.82508421266599,0.8419540163327238
foreman,0.25,Lanczos,25.82508421266599,0.8419540163327238
lenna,0.75,Cubic,33.9052973265213,0.9002254706434462
lenna,0.75,Lanczos,33.9052973265213,0.9002254706434462
lenna,0.5,Cubic,31.47349297867539,0.8460989200521499
lenna,0.5,Lanczos,31.47349297867539,0.8460989200521499
lenna,0.25,Cubic,27.66031933773089,0.7376752308482324
lenna,0.25,Lanczos,27.66031933773089,0.7376752308482324
man,0.75,Cubic,29.61896803515579,0.8965042715882571
man,0.75,Lanczos,29.61896803515579,0.8965042715882571
man,0.5,Cubic,27.226463697988216,0.8214950645456561
man,0.5,Lanczos,27.226463697988216,0.8214950645456561
man,0.25,Cubic,23.923655554123513,0.6426593632339229
man,0.25,Lanczos,23.923655554123513,0.6426593632339229
monarch,0.75,Cubic,32.987568764812345,0.9695231805530269
monarch,0.75,Lanczos,32.987568764812345,0.9695231805530269
monarch,0.5,Cubic,29.74553446062963,0.9401241045374061
monarch,0.5,Lanczos,29.74553446062963,0.9401241045374061
monarch,0.25,Cubic,24.698598653799635,0.8338821700304533
monarch,0.25,Lanczos,24.698598653799635,0.8338821700304533
pepper,0.75,Cubic,32.563880351911656,0.8831655320019719
pepper,0.75,Lanczos,32.563880351911656,0.8831655320019719
pepper,0.5,Cubic,29.88947161686106,0.8357937568464359
pepper,0.5,Lanczos,29.88947161686106,0.8357937568464359
pepper,0.25,Cubic,26.58723181082085,0.747244436283934
pepper,0.25,Lanczos,26.58723181082085,0.747244436283934
ppt3,0.75,Cubic,27.65520975181044,0.9573037238132658
ppt3,0.75,Lanczos,27.65520975181044,0.9573037238132658
ppt3,0.5,Cubic,24.41153151423682,0.9158766088884209
ppt3,0.5,Lanczos,24.41153151423682,0.9158766088884209
ppt3,0.25,Cubic,19.839100862864385,0.7935066832870561
ppt3,0.25,Lanczos,19.839100862864385,0.7935066832870561
zebra,0.75,Cubic,31.256649291921295,0.9498647202638252
zebra,0.75,Lanczos,31.256649291921295,0.9498647202638252
zebra,0.5,Cubic,27.485958997317486,0.8786304308384912
zebra,0.5,Lanczos,27.485958997317486,0.8786304308384912
zebra,0.25,Cubic,22.155438236034936,0.6442576954698144
zebra,0.25,Lanczos,22.155438236034936,0.6442576954698144
