original_path,processed_path,scale,psnr,ssim
processed_images\baboon_original.jpg,processed_images\baboon_processed_0.85.jpg,0.85,26.72705772675727,0.8719563552903963
processed_images\baboon_original.jpg,processed_images\baboon_processed_0.6.jpg,0.6,23.680760464108097,0.7460423576761438
processed_images\baboon_original.jpg,processed_images\baboon_processed_0.45.jpg,0.45,22.118212423261483,0.6372655526169003
processed_images\baboon_original.jpg,processed_images\baboon_processed_0.3.jpg,0.3,20.71586521078408,0.4938505682384071
processed_images\barbara_original.jpg,processed_images\barbara_processed_0.85.jpg,0.85,31.97005161998316,0.949740249878971
processed_images\barbara_original.jpg,processed_images\barbara_processed_0.6.jpg,0.6,27.76950397227054,0.8787472594815292
processed_images\barbara_original.jpg,processed_images\barbara_processed_0.45.jpg,0.45,25.85481706773333,0.8122349032094706
processed_images\barbara_original.jpg,processed_images\barbara_processed_0.3.jpg,0.3,24.40131086302781,0.7223792919183577
processed_images\bridge_original.jpg,processed_images\bridge_processed_0.85.jpg,0.85,31.20599723783211,0.9421775631018278
processed_images\bridge_original.jpg,processed_images\bridge_processed_0.6.jpg,0.6,27.984633563711228,0.8735788997000028
processed_images\bridge_original.jpg,processed_images\bridge_processed_0.45.jpg,0.45,26.005140247621576,0.7938274603532888
processed_images\bridge_original.jpg,processed_images\bridge_processed_0.3.jpg,0.3,23.91701803932237,0.6543133603929158
processed_images\coastguard_original.jpg,processed_images\coastguard_processed_0.85.jpg,0.85,35.79844129106782,0.9684151554568531
processed_images\coastguard_original.jpg,processed_images\coastguard_processed_0.6.jpg,0.6,30.842220010272268,0.8913457364948839
processed_images\coastguard_original.jpg,processed_images\coastguard_processed_0.45.jpg,0.45,27.133354350478456,0.7525272114950258
processed_images\coastguard_original.jpg,processed_images\coastguard_processed_0.3.jpg,0.3,24.500179022890297,0.5643907684956729
processed_images\comic_original.jpg,processed_images\comic_processed_0.85.jpg,0.85,30.614584002086662,0.9667085019778852
processed_images\comic_original.jpg,processed_images\comic_processed_0.6.jpg,0.6,26.6857943945762,0.9150073478241364
processed_images\comic_original.jpg,processed_images\comic_processed_0.45.jpg,0.45,23.951367652106743,0.8390432410195233
processed_images\comic_original.jpg,processed_images\comic_processed_0.3.jpg,0.3,21.243248551209874,0.6964891004137931
processed_images\face_original.jpg,processed_images\face_processed_0.85.jpg,0.85,34.82069189757537,0.9184079637801892
processed_images\face_original.jpg,processed_images\face_processed_0.6.jpg,0.6,32.375590531335504,0.8530212560602205
processed_images\face_original.jpg,processed_images\face_processed_0.45.jpg,0.45,31.166890474857,0.8065428274998111
